name,url,unit,description,type,audience,online,ch_branch,ch_phone,ch_email,ch_mail,ch_kiosk,level,level_name,usage_total,usage_digital,usage_frontal,usage_phone
בירור חובות בהיטל השבחה,https://handasa.ganeytikva.org.il/%d7%94%d7%99%d7%98%d7%9c%d7%99-%d7%94%d7%a9%d7%91%d7%97%d7%94/,הנדסה,"בירור חבות בהיטל השבחה מאפשר מידע טרום עסקה בדבר חבות בהיטל השבחה על פי נתוני גוש חלקה .על מנת לקבל מענה אם קיימת חובת תשלום היטל השבחה עבור נכס מסוים, ניתן להגיש בקשה בעניין זה למחלקת השבחה ברשות המקומית.",בקשת מידע,כלל האוכלוסייה,כן,כן,לא,כן,לא,לא,2,טופס להורדה,60,50,10,0
בדיקת זכויות בנייה,https://handasa.ganeytikva.org.il/gush2-2/,ועדת תכנון ובנייה,"בדיקת זכויות בנייה היא תהליך של בירור והבנה של מה מותר לבנות על מגרש מסוים, על פי תוכניות בניין עיר (תב""ע) והגבלות נוספות. זה כולל את שטח הבנייה המותר, גובה המבנה, מספר הקומות, קווי בניין ועוד. בדיקת זכויות בנייה חשובה לפני רכישת נכס, תכנון בנייה או שיפוץ, וכן לצורך הערכת שווי הנכס",בקשת מידע,כלל האוכלוסייה,כן,לא,לא,לא,לא,לא,5,תהליך אוטומטי,60,60,0,0
תשלום אגרת בקשת מידע,https://www.paykal.co.il/ganeytikva/product/tik_meida/,הנדסה,תשלום אגרת בקשת מידע בהתאם לחוק חופש המידע,תשלומים,כלל האוכלוסייה,כן,כן,לא,לא,לא,לא,5,תהליך אוטומטי,52,52,0,0
בקשה להעתק החלטת ועדת השמה,,חינוך,"כדי לקבל העתק ממכתב החלטת ועדת זכאות ואפיון לשירותי חינוך מיוחד, יש לפנות למחלקה לחינוך מיוחד בעירייה או למשרד החינוך ולבקש את המסמך הרלוונטי. מומלץ לציין את שם התלמיד/ה ומספר תעודת הזהות בעת הפנייה, ולצרף את המסמכים הנדרשים במידת הצורך.",בקשת מידע,הורים,לא,לא,לא,כן,לא,לא,2,טופס להורדה,50,0,50,0
רישום תושב חדש למוסדות חינוך,https://www.ganeytikva.org.il/smartforms/646/,חינוך,רישום למוסדות החינוך לא בזמן רישום לתושבים חדשים,"רישוי, רישום ותעודות",הורים,לא,כן,לא,כן,לא,לא,2,טופס להורדה,50,0,45,5
מרכז אלימות במשפחה,,רווחה ושירותים חברתיים,"המרכזים למניעת אלימות במשפחה פועלים בקהילה על ידי מומחים בתחום, הפועלים החל מסיוע בשעת חירום ועד לליווי המשפחה במטרה לעצור את ההתנהלות האלימה במשפחה. המרכזים עוסקים באבחון, הערכת מסוכנות, בניית דרכי הגנה, טיפול ושיקום למשפחות במעגל האלימות, הן לנפגעים והן לפוגעים.",אחר,כלל האוכלוסייה,לא,כן,כן,כן,לא,לא,1,הגעה פיזית,50,0,40,10
הצהרה והתחייבות הורים גרושים/פרודים,https://www.ganeytikva.org.il/%D7%90%D7%92%D7%A3-%D7%94%D7%97%D7%99%D7%A0%D7%95%D7%9A-%D7%95%D7%94%D7%A0%D7%95%D7%A2%D7%A8/,חינוך,כתב הצהרה להורים גרושים/פרודים להסכמה לבקשת לרישום/לביטול רישום/העברת הקטין ללימודים בגן ילדים/בבית ספר ברשות,אחר,הורים,כן,לא,לא,לא,לא,לא,5,תהליך אוטומטי,40,40,0,0
ביטול רישום,https://www.ganeytikva.org.il/smartforms/1594/,חינוך,ביטול רישום למסגרת חינוכית של הרשות,אחר,הורים,כן,לא,לא,כן,לא,לא,4,דיגיטלי עם הזדהות,35,15,20,0
הגשת תלונה על בניה לא חוקית,https://www.ganeytikva.org.il/smartforms/730/,ועדת תכנון ובנייה,"הגשת תלונה על בניה לא חוקית היא תהליך דיווח לרשויות על חשד לביצוע עבודות בנייה ללא היתר בנייה כנדרש על פי חוק התכנון והבניה. תלונה כזו נועדה להבטיח שהבנייה תתבצע בהתאם להוראות החוק, תוך שמירה על בטיחות, תכנון סביבתי נכון וסדר ציבור",דיווח מידע,כלל האוכלוסייה,כן,לא,לא,לא,לא,לא,5,תהליך אוטומטי,34,20,0,14
בקשה להחזר עבור הסעות,,חינוך,בקשה להחזר עבור הסעות,תשלומים,הורים,לא,לא,לא,כן,לא,לא,2,טופס להורדה,30,0,30,0
תשלום אגרת עסק,,רישוי וקידום עסקים,"תשלום אגרה לעסק הוא תשלום חובה שבעלי עסקים נדרשים לשלם לרשויות השונות, בדרך כלל באופן שנתי, כתנאי להמשך קיומו של העסק וקבלת שירותים מסוימים. האגרה היא סוג של תשלום חובה שאינו מס טהור ואינו מחיר טהור, והיא משולמת בזיקה לשירותים או פעולות שהרשות הציבורית נותנת לעסק",תשלומים,בעלי עסקים,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,30,0,30,0
בקשה לרישיון עסק,https://www.ganeytikva.org.il/%D7%A9%D7%9C%D7%91-4-%D7%94%D7%92%D7%A9%D7%AA-%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A8%D7%99%D7%A9%D7%95%D7%99-%D7%A2%D7%A1%D7%A7/,רישוי וקידום עסקים,בקשה לרישיון עסק,"רישוי, רישום ותעודות",בעלי עסקים,כן,כן,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,30,5,25,0
רישום מועדוניות,,רווחה ושירותים חברתיים,רישום מועדוניות טיפוליות במסגרת הרווחה. לאחר שעות הלימודים לכיתות א-ד לילדים המוכרים ברווחה.,"רישוי, רישום ותעודות",ילדים וצעירים,לא,כן,כן,כן,לא,לא,1,הגעה פיזית,30,0,15,15
איתור רכב שנגרר,,תחבורה וחניה,"גרוטאות רכב מהוות מטרד ומפגע בטיחותי ותופסות מקומות חנייה נחוצים ברחבי העיר. בהתאם להוראות חוק שמירת הניקיון (התשמ""ד-1984), רשאית העירייה לפנות גרוטאות רכב שהושלכו ברשות הרבים או ברשות היחיד",בקשת מידע,כלל האוכלוסייה,כן,לא,לא,לא,לא,כן,1,הגעה פיזית,30,0,30,0
פרסום מכרזים,https://www.ganeytikva.org.il/bids/#bids_1,מחלקה משפטית,"פרסום מכרזי העיריה מתייחס לתהליך שבו רשות מקומית (עירייה) מפרסמת הזדמנות להתקשרות בחוזה לביצוע עבודה או רכישת טובין, תוך מתן הזדמנות שווה לכל הגורמים הרלוונטיים להשתתף במכרז. מטרת הפרסום היא להבטיח שקיפות, תחרות הוגנת וקבלת ההצעה הטובה ביותר עבור הרשות המקומי",אחר,כלל האוכלוסייה,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,30,0,30,0
בקשה לאבחון פסיכולוגי-חינוכי,,שירות פסיכולוגי חינוכי,פנייה לשירות הפסיכולוגי דרך המסגרות החינוכיות,אחר,הורים,לא,לא,לא,לא,לא,לא,1,הגעה פיזית,28,0,28,0
החזר נסיעות,,חינוך,החזר נסיעות עבור זכאים לפי קריטריונים מוגדרים של הרשות,תשלומים,הורים,לא,לא,כן,כן,לא,לא,2,טופס להורדה,25,0,18,7
בקשה לאיסוף פסולת מיוחדת,https://www.ganeytikva.org.il/%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%A4%D7%99%D7%A0%D7%95%D7%99-%D7%92%D7%96%D7%9D-%D7%95%D7%A4%D7%A1%D7%95%D7%9C%D7%AA-%D7%91%D7%9B%D7%9E%D7%95%D7%AA-%D7%97%D7%A8%D7%99%D7%92%D7%94/,"שפ""ע","בקשה לאיסוף פסולת מיוחדת מתייחסת לבקשה מתושב או עסק לרשות המקומית לפנות סוגים מסוימים של פסולת שאינם מפוּנים באופן שוטף, כגון גזם גדול.",אחר,כלל האוכלוסייה,כן,לא,כן,כן,לא,לא,5,תהליך אוטומטי,23,4,0,19
ערעור על שיבוץ לגני ילדים,https://www.ganeytikva.org.il/%D7%90%D7%92%D7%A3-%D7%94%D7%97%D7%99%D7%A0%D7%95%D7%9A-%D7%95%D7%94%D7%A0%D7%95%D7%A2%D7%A8/,חינוך,ערעור על החלטת הרשות לשיבוץ מוסד לימודים,אחר,הורים,כן,לא,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,20,20,0,0
טיפול פסיכולוגי פרטני וקבוצתי,,שירות פסיכולוגי חינוכי,"טיפול רגשי, טיפול פרטני או קבוצתי, פנייה דרך המסגרות החינוכיות",אחר,ילדים וצעירים,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,20,0,20,0
תשלום עבור שירות פסיכולוגי משלים,https://www.ganeytikva.org.il/smartforms/298/,שירות פסיכולוגי חינוכי,תשלום עבור שירות פסיכולוגי משלים,אחר,ילדים וצעירים,כן,לא,לא,לא,לא,לא,5,תהליך אוטומטי,20,20,0,0
בקשה לשירות פסיכולוגי משלים,,שירות פסיכולוגי חינוכי,טיפולים ואבחונים,אחר,כלל האוכלוסייה,לא,לא,כן,לא,לא,לא,2,טופס להורדה,20,0,0,20
הגשת התנגדויות לתוכניות,,ועדת תכנון ובנייה,"התנגדות לתכנית היא מסמך כתוב המוגש לוועדת התכנון והבנייה, המפרט את נימוקי ההתנגדות של אדם לתוכנית בנייה מסוימת. ההתנגדות יכולה להיות על תוכנית מתאר מקומית, תוכנית מפורטת, או אפילו בקשה להיתר בנייה",דיווח מידע,כלל האוכלוסייה,כן,לא,לא,כן,לא,לא,5,תהליך אוטומטי,20,20,0,0
בקשה לטופס 4 (רשיון אכלוס),,ועדת תכנון ובנייה,"בקשה לקבלת טופס אישור אכלוס הניתן על ידי הרשות המקומית המאשר שהמבנה ראוי למגורים ועומד בתקנים ובדרישות הבטיחות הנדרשות. קבלת טופס 4 היא שלב הכרחי לפני חיבור המבנה לתשתיות כמו חשמל, מים וטלפון, ולאחר קבלתו ניתן להתגורר במבנה בצורה חוקית","רישוי, רישום ותעודות",כלל האוכלוסייה,לא,כן,לא,כן,לא,לא,3,טופס דיגיטלי,18,0,18,0
עירעור בתי ספר,https://www.ganeytikva.org.il/%D7%90%D7%92%D7%A3-%D7%94%D7%97%D7%99%D7%A0%D7%95%D7%9A-%D7%95%D7%94%D7%A0%D7%95%D7%A2%D7%A8/,חינוך,ערעור על החלטת הרשות לשיבוץ מוסד לימודים,אחר,הורים,כן,לא,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,17,17,0,0
הנפקת אישור תושבות,,הכנסות וארנונה,"הנפקת מסמך המעיד על כך שאדם כשלהו הוא תושב של רשות מקומית מסויימת, בין אם מדובר על עירייה, מועצה וכד'. כלומר, מדובר על מסמך רשמי של הרשות המקומית ובו היא מאשרת בכך שכתובת המגורים העיקרית של אותו אדם הוא נמצא בשטחה","רישוי, רישום ותעודות",כלל האוכלוסייה,לא,כן,כן,כן,לא,לא,4,דיגיטלי עם הזדהות,17,0,7,10
הגשת היתר להצבת דוכני מכירה,,רישוי וקידום עסקים,קבלת היתר להצבת דוכני מכירה בחגים ואירועים,"רישוי, רישום ותעודות",בעלי עסקים,לא,לא,כן,כן,לא,לא,1,הגעה פיזית,15,0,0,15
הגשת בקשה לפטור בהליך רישוי,,ועדת תכנון ובנייה,"הגשת בקשה לפטור בהליך רישוי היא תהליך שבו מבקשים מהרשות המוסמכת (בדרך כלל הוועדה המקומית לתכנון ולבנייה) לפטור מעבודה או מבנה מסוים מהצורך בקבלת היתר בנייה רגיל. הכוונה היא לקבל אישור לבצע עבודה מסוימת, כמו בניית מחסן קטן או התקנת גגון, מבלי לעבור את כל שלבי הרישוי המורכבים והארוכים","רישוי, רישום ותעודות",בעלי עסקים,כן,לא,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,15,15,0,0
בקשה להצבת תמרור חניה לנכה,,תחבורה וחניה,בקשת נכה להצבת תמרור חניה שמור לנכה עקב החלפת רכב,"רישוי, רישום ותעודות",כלל האוכלוסייה,לא,לא,כן,כן,לא,לא,3,טופס דיגיטלי,15,0,0,15
בקשת הנגשה במוסד חינוכי,,חינוך,"בקשת הנגשה במוסד חינוכי היא בקשה שמגישים הורים או תלמידים עם מוגבלות, או מוסדות חינוך, במטרה לקבל התאמות פיזיות, פדגוגיות או טכנולוגיות שיאפשרו לתלמיד להשתלב באופן מלא ושווני בבית הספר. בקשה זו נועדה להבטיח כי כל תלמיד, ללא קשר ליכולותיו הפיזיות או הקוגניטיביות, יוכל לקבל חינוך איכותי ולחוות חווית למידה שוויונית",אחר,הורים,לא,לא,לא,כן,לא,לא,2,טופס להורדה,10,0,10,0
חידוש רישיון עסק,,רישוי וקידום עסקים,חידוש רישיון עסק קיים,"רישוי, רישום ותעודות",בעלי עסקים,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,10,0,10,0
הזמנת תיק בניין מארכיון,,ועדת תכנון ובנייה,"הזמנת תיק בניין מארכיון היא בקשה לקבלת כל המסמכים הקשורים לבניין מסוים, כגון תכניות בנייה, היתרי בנייה, אישורים, וכל התכתובות הקשורות אליו. תיק בניין מספק תיעוד היסטורי מקיף של הבניין, ומאפשר מעקב אחר התפתחותו לאורך זמן",בקשת מידע,כלל האוכלוסייה,לא,כן,לא,כן,לא,לא,1,הגעה פיזית,10,0,10,0
מעונות יום לתינוקות בסיכון,,רווחה ושירותים חברתיים,ועדה למעון בסיבסוד תחת משפחות בסיכון שמוכרות ברווחה מגיל לידה עד 3 הנמצאים בסכנה בהתפתחות פיזית.,אחר,כלל האוכלוסייה,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,10,0,10,0
בקשה למעבר בין בתי ספר,,חינוך,בקשה למעבר בין בתי ספר ברשות,אחר,הורים,לא,לא,לא,כן,לא,לא,2,טופס להורדה,7,0,7,0
בקשה להוצאת מתקנים - היה וירד לצורך תיקונים ולא עלה מחדש,,רישוי וקידום עסקים,"בקשה להוצאת מתקנים"" פירושה בקשה להסיר או להעביר מתקנים כלשהם, כמו מתקנים תעשייתיים, מתקני תשתית או מתקנים אחרים. הבקשה יכולה להיות מוגשת לרשות מקומית, למשרד ממשלתי או לגוף אחר האחראי על המתקנים","רישוי, רישום ותעודות",בעלי עסקים,לא,לא,כן,כן,לא,לא,1,הגעה פיזית,7,0,2,5
בקשה למלווה רפואי,,חינוך,"בקשה לליווי רפואי מתייחסת למספר מצבים, ביניהם: ליווי תלמידים עם צרכים רפואיים ייחודיים בחינוך הרגיל, ליווי סיעודי למטופלים הזקוקים לסיוע בפעולות היום-יום, וליווי בבדיקות וטיפולים רפואיים.",אחר,הורים,לא,לא,לא,כן,לא,לא,2,טופס להורדה,6,0,6,0
טופס בקשה להקצאת קרקע/מבנה,https://www.ganeytikva.org.il/uploads/n/1593077520.8226.pdf,נכסים,"טופס בקשה להקצאת קרקע/מבנה הוא מסמך רשמי שבאמצעותו גוף, לרוב עמותה או חברה לתועלת הציבור, מבקש מהרשות המקומית להקצות לו שימוש בקרקע או במבנה שבבעלות העירייה, תמורת תשלום או ללא תשלום. הבקשה מיועדת למטרות ציבוריות, כגון חינוך, תרבות, רווחה, ספורט, דת או קהילה.","רישוי, רישום ותעודות",כלל האוכלוסייה,לא,כן,לא,כן,לא,לא,2,טופס להורדה,6,0,6,0
בקשה לרשיון שלט,,רישוי וקידום עסקים,"בקשה לרישיון שלט היא תהליך הגשת בקשה רשמית לעירייה או לרשות המקומית לקבלת אישור להתקנת שלט על מבנה או בשטח ציבורי. מדובר בתהליך הכרחי על מנת לוודא שהשלט עומד בתקנות העירוניות, בטיחותי ואינו פוגע בסביבה או במרחב הציבורי.","רישוי, רישום ותעודות",בעלי עסקים,לא,לא,כן,כן,לא,לא,1,הגעה פיזית,5,0,0,5
החלפת רכב לתו נכה,,תחבורה וחניה,החלפת מספר רכב לבעלי תו נכה,"רישוי, רישום ותעודות",כלל האוכלוסייה,לא,לא,כן,כן,לא,לא,3,טופס דיגיטלי,5,0,0,5
הנפקת אישורים רלוונטיים,,רווחה ושירותים חברתיים,"משרד הרווחה והביטחון החברתי מנפיק מגוון אישורים ותעודות המעידים על זכאות לסיוע, מצב תפקודי, או השתייכות לאוכלוסיות יעד. בין האישורים הבולטים: תעודת עיוור/לקוי ראייה, אישור על הכרה באוטיזם","רישוי, רישום ותעודות",כלל האוכלוסייה,לא,כן,לא,כן,לא,לא,1,הגעה פיזית,4,0,4,0
יפוי כח גנים ובתי ספר,,חינוך,"טופס יפוי כח לגני הילדים ובתי הספר עליו חותמים ההורים , לפי תקנות לימוד חובה וחינוך ממלכתי (רישום), תשי”ט-1959",אחר,הורים,לא,לא,לא,כן,לא,לא,2,טופס להורדה,2,0,2,0
יציאה למסגרת חוץ בייתית לקטינים,,רווחה ושירותים חברתיים,יציאה למסגרת חוץ בייתית בהסכמת הקטין והוריו ללא מעורבות של חוק הנוער,סיוע כלכלי וקצבאות,ילדים וצעירים,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,2,0,2,0
יציאה למסגרת חוץ בייתית לנוער,,רווחה ושירותים חברתיים,"השמה של הרווחה היא תהליך מקצועי למציאת מסגרת חוץ-ביתית, טיפולית או תעסוקתית, עבור אנשים הנזקקים לכך. התהליך כולל פנייה לעובד סוציאלי, הערכה בוועדות מקצועיות של משרד הרווחה (כגון ועדת השמה), והתאמת המסגרת הנכונה ביותר.",סיוע כלכלי וקצבאות,ילדים וצעירים,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,2,0,2,0
בקשה לפינוי רכב לגריטה,,תחבורה וחניה,פינוי רכב שהורד מהכביש,אחר,כלל האוכלוסייה,לא,לא,לא,לא,לא,כן,1,הגעה פיזית,2,0,2,0
הגשת היתר לסגירת חורף - בשנת 2025 לא קיבל פניות בנושא,,רישוי וקידום עסקים,"""סגירת חורף"" בעברית מתייחסת להתקנת מבנה זמני או קבוע המכסה מרפסת או פרגולה, במטרה להגן עליהם מפני תנאי מזג האוויר בחורף כמו גשם ורוחות. הסגירה מאפשרת שימוש בשטח המכוסה גם בתקופת החורף, והיא יכולה להיות עשויה מחומרים שונים כמו זכוכית, אלומיניום או PVC","רישוי, רישום ותעודות",בעלי עסקים,לא,לא,כן,לא,לא,לא,1,הגעה פיזית,0,0,0,0
צ'קליסט פתיחת עסק,,רישוי וקידום עסקים,"השירות נועד לייעל את תהליך הרישוי, לצמצם בירוקרטיה ולספק מענה מהיר ומקצועי, תוך שמירה על שקיפות מלאה וזמינות מרבית של כלל המסמכים הנדרשים.","רישוי, רישום ותעודות",בעלי עסקים,לא,לא,לא,לא,לא,לא,5,תהליך אוטומטי,0,0,0,0
דיווח על מבנה מסוכן,,ועדת תכנון ובנייה,דיווח על מבנה מסוכן בעיר,דיווח מידע,כלל האוכלוסייה,לא,לא,לא,כן,לא,לא,2,טופס להורדה,0,0,0,0
תשלום קנס,https://mileon-portal.co.il/DefaultNew.aspx?Rashut=920069,הכנסות וארנונה,"תשלום כספי שנדרש לשלם עקב הפרת תקנות או חוקים הקשורים לבעלי חיים ולשירותים הווטרינריים. זה יכול לכלול קנסות על החזקת כלב ללא רישיון, כלב משוטט, או אי-חיסון כלב נגד כלבת.",תשלומים,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,480,280,100,100
תשלום דוחות חניה ודוחות תנועה,https://www.doh.co.il/Default.aspx?ReportType=1&Rashut=920010,הכנסות וארנונה,"תשלום דוחות תנועה וחניה באמצעות מגוון אמצעים, כולל כרטיס אשראי, הוראת קבע, העברה בנקאית, מזומן או המחאה.",תשלומים,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,1000,700,125,175
